start,end,weight
1404,1519,4
1246,1400,2
1911,1914,5
1402,1527,2
1503,1914,4
1126,1138,4
1900,1928,9
1427,1525,8
1214,1315,5
1847,1957,2
1606,1905,9
1432,1628,2
1915,1957,5
1824,1907,6
1257,1904,2
842,906,2
1055,1315,5
808,1050,9
1524,1917,1
1732,1954,9
1508,1812,8
945,1225,6
1608,1916,2
801,1322,2
1620,1627,5
1043,1857,1
1115,1136,8
1936,1943,4
1651,1737,3
900,955,9
808,1934,9
838,1221,7
1801,1802,4
931,1123,3
902,1834,9
850,941,2
1740,1824,5
1732,1815,9
955,958,9
1122,1934,2
1643,1709,6
1342,1440,3
1257,1350,2
1556,1804,8
1754,1941,8
1044,1759,9
1415,1641,7
856,1016,1
1443,1613,8
1248,1359,3
1808,1853,2
1932,2000,4
1415,1723,7
1147,1608,3
1613,1625,6
1744,1946,7
1755,1806,1
1324,1903,8
1309,1430,4
1059,1151,8
1408,1849,8
1917,1929,9
1021,1913,7
1152,1552,7
904,1527,9
1702,1905,1
1337,1616,9
1220,1904,8
1824,1915,8
1139,1311,8
1231,1943,4
1034,1532,3
1441,1808,4
859,1418,3
1616,1702,7
1813,1845,9
1642,1750,8
1037,1345,4
824,1853,7
823,837,9
949,1447,7
1149,1829,8
940,1020,5
909,1633,8
1856,1903,4
1817,1913,9
826,1547,9
1550,1836,9
846,1306,7
1210,1215,4
1044,1523,2
951,1331,5
1356,1412,7
1635,1935,2
813,1432,3
1233,1943,7
1059,1428,3
1145,1821,6
1358,1813,4
1250,1328,1
1404,1505,3
1723,1754,7
1200,1959,4
1216,1346,2
1941,1958,3
1854,1959,4
955,1605,9
925,1411,4
1532,1735,3
1740,1742,4
1333,1527,5
1555,1823,4
1908,1953,2
1850,1903,1
1353,1930,3
1342,1755,5
1033,1958,7
1614,1753,5
1723,1840,5
1903,1956,4
941,1835,4
944,1657,8
1010,1938,4
1111,1748,9
957,1320,1
1443,1555,7
1226,1425,3
1848,1925,7
1919,1926,9
1749,1810,8
1554,1845,5
1840,1905,5
1959,2000,1
1738,1836,1
1035,1644,5
1312,1528,7
828,1411,4
1327,1544,3
1847,1936,5
1202,1753,4
1023,1151,5
1727,1813,3
1534,1544,3
810,1450,1
1022,1741,6
1726,1913,9
937,1020,6
1731,1847,5
1304,1705,2
1508,1527,4
1854,1956,8
1624,1857,9
1640,1909,6
1659,1923,5
1434,1554,5
1653,1838,8
1630,1744,8
1143,1341,2
1122,1713,5
1039,1606,3
1729,1940,2
859,1413,4
1744,1925,7
1948,1950,6
1404,1529,9
1403,1647,6
1730,1737,2
1213,1813,4
955,1530,8
1146,1655,8
1343,1533,5
906,1225,9
915,1252,3
1404,1510,5
908,1417,4
1638,1803,7
1917,1947,1
1346,1424,6
1540,1756,7
1200,1834,8
905,1926,5
1109,1809,7
1011,1131,2
1801,1858,1
1944,1951,3
947,1452,5
1412,1803,5
1105,1822,2
1905,1928,9
1308,1443,8
1331,1754,3
1913,1940,2
1442,1443,2
1000,1943,2
1942,1950,8
1450,1542,1
1003,1716,9
800,1711,7
957,1015,8
1616,1732,8
1922,1943,9
1043,1646,3
1311,1838,5
1718,1901,7
1000,1537,9
842,1745,1
1409,1656,3
953,1127,2
850,1938,1
1710,1714,3
1119,1134,8
1450,1549,6
1355,1626,8
1609,1632,9
902,1428,9
1554,1811,4
1556,1611,8
1213,1733,2
1552,1618,1
1130,1755,2
953,1123,9
1759,1838,3
1854,1911,1
1949,1956,1
918,1003,1
902,1224,9
1508,1825,8
1521,1525,8
1524,1711,4
1035,1838,6
1834,1941,5
1730,1746,2
1359,1858,8
1239,1843,4
1927,1948,3
1518,1549,5
1443,1935,6
1850,1933,8
1331,1903,1
1806,1918,2
950,1528,7
1101,1533,5
1104,1909,4
1948,1953,6
1921,1924,1
1822,1825,4
944,1609,9
1853,1906,1
1344,1524,9
1840,1930,3
1222,1444,1
1146,1817,4
907,1537,7
1048,1434,9
815,841,7
1214,1217,3
830,1345,6
1930,1941,9
1904,1914,5
844,1743,8
1042,1409,5
1320,1321,7
1833,1921,2
1645,1901,1
1644,1939,9
1721,1819,9
908,1037,4
1256,1759,9
1455,1636,4
1945,1958,5
1627,1811,5
1714,1819,2
1231,1451,8
907,1140,8
955,1103,4
1614,1929,8
852,1523,8
1031,1258,2
1840,1854,7
1631,1849,2
1758,1837,4
1009,1711,3
803,1124,2
1034,1048,2
807,1143,9
1918,1954,9
822,1105,4
1838,1852,3
1342,1620,4
1019,1619,2
1823,1902,2
1957,1958,7
1639,1742,2
1759,1928,6
1731,1757,5
952,1217,3
957,1030,2
1343,1845,4
1624,1627,5
927,1237,7
1940,1948,6
1930,1938,5
1035,1357,3
1446,1449,5
1955,1956,4
1326,1658,1
1621,1721,2
1103,1355,3
1810,1825,9
1542,1634,2
1048,1503,5
1111,1204,4
1812,1944,4
1331,1620,9
1313,1313,4
1835,1859,6
1246,1443,6
1425,1846,4
1855,1948,7
1746,1813,3
1246,1727,5
856,1236,3
828,1509,3
1459,1809,8
1446,1941,4
1123,1143,6
827,1916,9
1822,1826,8
1213,1633,5
1930,1945,9
1327,1855,9
1339,1711,1
1540,1856,6
922,1321,8
1232,1405,6
1729,1802,7
1156,1334,4
1240,1952,9
1236,1436,6
821,1238,4
1606,1629,6
1315,1443,3
1616,1650,5
811,1406,3
922,1239,9
1817,1902,6
1251,1938,2
940,1437,6
1742,1810,1
1515,1615,6
1859,1945,1
931,1052,8
